article_id,title,sentence,label
45,Charlie Hebdo: 'Us or them'.,which are obviously bad enough,assumption
15,"Are you drinking because you're working long hours, or are you working long hours to justify drinking?",Our community continues to excuse the practise of drowning one's sorrows,assumption
205,"Pope Francis, Salman Rushdie and Charlie Hebdo.","Beyond this morbid reality associated with the murder of the Charlie Hebdo cartoonists, police officers, and the supermarket hostages, there is nothing but darkness",assumption
230,Russia is part of the solution and the problem.,"In the same speech, Putin accused the West of meddling in Russia's internal affairs, claiming that sanctions were merely an excuse to weaken Russia",testimony
295,I witnessed the Peshawar massacre'.,They were already shooting,anecdote
164,"New Congress: My fellow Republicans, here's your chance to prove you can lead.","Instead of pushing petty, politically motivated bills, or not voting just to protect one of the Democratic members from taking a tough vote, the Senate can focus on things that will have a direct impact on the American people",assumption
230,Russia is part of the solution and the problem., Russia believes that the US never stopped containing Russia,assumption
227,Russia's next acquisition.,because Russia maintains a sizeable military presence in Armenia,anecdote
17,Argentina: Growth at what price?,"On December 3, the Argentinean Senate approved tax incentives for the generation of electricity from renewable energy sources",anecdote
276,"What do black and white, rich and poor Americans have in common with one another, anyhow?",Every single one,assumption
98,Germany: a beacon and a force for good in Europe.,"Thus the home of Immanuel Kant, its greatest philosopher, is Kalingrad (then Konigsberg)",assumption
42,The Charlie Hebdo cartoonists were smarter theologians than the jihadis.,It is the ancient job of the iconoclast,assumption
21,Atlanta Fire Chief: I was fired because of my Christian faith.,Cochran wants to make clear that he does not hate anyone,assumption
167,New York Times columnist Maureen Dowd self-destructs.,The now-consumed 2014 has been perfectly described by some commentators as the year when facts died,assumption
218,The real American Sniper was a hate-filled killer. Why are simplistic patriots treating him as a hero?,Is he a propagandist if people use his work as propaganda?,assumption
274,When should voluntary euthanasia not be an option?,"Had Van Den Bleeken been allowed to die, critics may say it would have risked opening the floodgates for other similar cases",assumption
174,The greatest trick Obama ever pulled was convincing the world America isn't still at war.,"Thirteen years on, the near limitless war authorization Congress passed for the Afghanistan war remains in place, with no sign that Congress wants to even debate revoking it",assumption
172,North Korea: An 'act of war' over a movie?,it cost to make plus whatever the film would have taken in at theatres and from home release,assumption
121,India's mass conversion problem.,"Anyone found guilty is visited with imprisonment extending to three years, and with a financial penalty of 50,000 rupees (approximately $800)",assumption
240,The single reason why I celebrate Christmas.,I wouldn't be here to write this column,assumption
46,"Just when the Ched Evans debate couldn't get any lower, up pops Gordon Taylor OBE.",though I need hardly add that he has no plans to consider his position after his latest display of incompetence,assumption
